Domain,Base Domain,Participates in Analytics
invasivespeciesinfo.gov,invasivespeciesinfo.gov,True
investor.gov,investor.gov,True
ioss.gov,ioss.gov,False
ipac.gov,ipac.gov,False
ipm.gov,ipm.gov,False
ipp.gov,ipp.gov,True
iprcenter.gov,iprcenter.gov,False
irs.gov,irs.gov,True
irsauctions.gov,irsauctions.gov,False
irsnet.gov,irsnet.gov,False
irssales.gov,irssales.gov,False
irsvideos.gov,irsvideos.gov,False
ise.gov,ise.gov,False
isitdoneyet.gov,isitdoneyet.gov,False
isotope.gov,isotope.gov,False
isotopes.gov,isotopes.gov,False
istac.gov,istac.gov,False
itap.gov,itap.gov,True
itc.gov,itc.gov,False
itdashboard.gov,itdashboard.gov,True
itis.gov,itis.gov,True
itrd.gov,itrd.gov,True
its.gov,its.gov,True
jamesmadison.gov,jamesmadison.gov,False
jccbi.gov,jccbi.gov,False
jccs.gov,jccs.gov,False
jct.gov,jct.gov,False
jem.gov,jem.gov,False
jewishheritage.gov,jewishheritage.gov,False
jewishheritagemonth.gov,jewishheritagemonth.gov,False
jimmycarterlibrary.gov,jimmycarterlibrary.gov,True
jobcorps.gov,jobcorps.gov,False
judicialconference.gov,judicialconference.gov,False
juniorforestranger.gov,juniorforestranger.gov,False
jusfc.gov,jusfc.gov,False
justice.gov,justice.gov,True
justthinktwice.gov,justthinktwice.gov,True
juvenilecouncil.gov,juvenilecouncil.gov,True
jwod.gov,jwod.gov,False
kapl.gov,kapl.gov,False
kennedy-center.gov,kennedy-center.gov,False
kids.gov,kids.gov,False
klamathrestoration.gov,klamathrestoration.gov,False
labor.gov,labor.gov,False
lacoast.gov,lacoast.gov,False
landfire.gov,landfire.gov,True
landimaging.gov,landimaging.gov,False
lanl.gov,lanl.gov,False
law.gov,law.gov,False
lbl.gov,lbl.gov,False
lca.gov,lca.gov,False
lcacommons.gov,lcacommons.gov,True
lcrmscp.gov,lcrmscp.gov,True
lctl.gov,lctl.gov,False
learnatf.gov,learnatf.gov,False
learndoj.gov,learndoj.gov,False
leo.gov,leo.gov,False
lep.gov,lep.gov,True
letgirlslearn.gov,letgirlslearn.gov,True
libraryofcongress.gov,libraryofcongress.gov,False
lifeline.gov,lifeline.gov,False
lis.gov,lis.gov,False
listenstoyou.gov,listenstoyou.gov,False
listo.gov,listo.gov,True
literacy.gov,literacy.gov,False
llnl.gov,llnl.gov,False
lmrcouncil.gov,lmrcouncil.gov,False
lmvsci.gov,lmvsci.gov,True
loc.gov,loc.gov,False
locatorplus.gov,locatorplus.gov,False
loctps.gov,loctps.gov,False
login.gov,login.gov,True
longtermcare.gov,longtermcare.gov,False
lps.gov,lps.gov,False
lsc.gov,lsc.gov,False
macpac.gov,macpac.gov,False
mail.gov,mail.gov,False
majorityleader.gov,majorityleader.gov,False
majoritywhip.gov,majoritywhip.gov,False
makinghomeaffordable.gov,makinghomeaffordable.gov,False
malwareinvestigator.gov,malwareinvestigator.gov,False
manufacturing.gov,manufacturing.gov,True
marine.gov,marine.gov,False
marinecadastre.gov,marinecadastre.gov,True
max.gov,max.gov,False
mbda.gov,mbda.gov,True
mcc.gov,mcc.gov,True
mcctest.gov,mcctest.gov,False
mda.gov,mda.gov,False
medalofvalor.gov,medalofvalor.gov,False
medicaid.gov,medicaid.gov,True
medicalcountermeasures.gov,medicalcountermeasures.gov,True
medicalreservecorps.gov,medicalreservecorps.gov,False
medicare.gov,medicare.gov,True
medline.gov,medline.gov,False
medlineplus.gov,medlineplus.gov,True
medpac.gov,medpac.gov,False
mentalhealth.gov,mentalhealth.gov,True
mentor.gov,mentor.gov,False
mesh.gov,mesh.gov,False
mgi.gov,mgi.gov,True
mha.gov,mha.gov,False
mibp.gov,mibp.gov,False
militaryconsumer.gov,militaryconsumer.gov,True
mimedicare.gov,mimedicare.gov,False
mitigationcommission.gov,mitigationcommission.gov,True
mlkday.gov,mlkday.gov,False
mmc.gov,mmc.gov,False
mms.gov,mms.gov,False
mojavedata.gov,mojavedata.gov,True
moneyfactory.gov,moneyfactory.gov,True
moneyfactorystore.gov,moneyfactorystore.gov,True
mrlc.gov,mrlc.gov,False
msb.gov,msb.gov,False
msha.gov,msha.gov,True
mspb.gov,mspb.gov,False
mtbs.gov,mtbs.gov,False
mtmc.gov,mtmc.gov,False
mycreditunion.gov,mycreditunion.gov,True
myfdic.gov,myfdic.gov,False
myira.gov,myira.gov,True
mymedicare.gov,mymedicare.gov,True
mymoney.gov,mymoney.gov,True
mynextmove.gov,mynextmove.gov,False
mypay.gov,mypay.gov,False
myplate.gov,myplate.gov,False
myra.gov,myra.gov,True
myusps.gov,myusps.gov,False
nafri.gov,nafri.gov,True
nagb.gov,nagb.gov,True
namus.gov,namus.gov,True
nano.gov,nano.gov,True
nara-at-work.gov,nara-at-work.gov,False
nara.gov,nara.gov,False
nasa.gov,nasa.gov,True
nationalbank.gov,nationalbank.gov,True
nationalbankhelp.gov,nationalbankhelp.gov,True
nationalbanknet.gov,nationalbanknet.gov,True
nationalchildrensstudy.gov,nationalchildrensstudy.gov,False
nationalgangcenter.gov,nationalgangcenter.gov,True
nationalhousing.gov,nationalhousing.gov,False
nationalhousinglocator.gov,nationalhousinglocator.gov,False
nationalmall.gov,nationalmall.gov,False
nationalmap.gov,nationalmap.gov,True
nationalresourcedirectory.gov,nationalresourcedirectory.gov,True
nationalservice.gov,nationalservice.gov,True
nationalserviceresources.gov,nationalserviceresources.gov,False
nationsreportcard.gov,nationsreportcard.gov,True
nativeamericanheritagemonth.gov,nativeamericanheritagemonth.gov,False
nativeonestop.gov,nativeonestop.gov,False
navycash.gov,navycash.gov,False
nbc.gov,nbc.gov,False
nbib.gov,nbib.gov,False
nbm.gov,nbm.gov,False
nbrc.gov,nbrc.gov,True
nccrc.gov,nccrc.gov,False
nccs.gov,nccs.gov,False
ncd.gov,ncd.gov,False
ncifcrf.gov,ncifcrf.gov,False
ncirc.gov,ncirc.gov,True
ncix.gov,ncix.gov,False
ncjrs.gov,ncjrs.gov,True
ncpc.gov,ncpc.gov,True
ncpw.gov,ncpw.gov,False
ncr.gov,ncr.gov,False
ncrc.gov,ncrc.gov,False
ncsc.gov,ncsc.gov,False
nctc.gov,nctc.gov,False
ncua.gov,ncua.gov,True
nea.gov,nea.gov,False
neglecteddiseases.gov,neglecteddiseases.gov,True
neh.gov,neh.gov,True
nehrp.gov,nehrp.gov,True
nel.gov,nel.gov,False
nemi.gov,nemi.gov,False
nepa.gov,nepa.gov,False
nersc.gov,nersc.gov,False
networx.gov,networx.gov,False
neup.gov,neup.gov,False
newmoney.gov,newmoney.gov,False
nfpors.gov,nfpors.gov,False
nga.gov,nga.gov,False
ngc.gov,ngc.gov,True
nhl.gov,nhl.gov,False
nhtsa.gov,nhtsa.gov,True
nic.gov,nic.gov,False
nicic.gov,nicic.gov,False
nicsezcheckfbi.gov,nicsezcheckfbi.gov,True
niem.gov,niem.gov,True
nifc.gov,nifc.gov,False
nigc.gov,nigc.gov,False
nih.gov,nih.gov,True
nihseniorhealth.gov,nihseniorhealth.gov,False
nij.gov,nij.gov,True
niosh.gov,niosh.gov,False
nist.gov,nist.gov,True
nitrd.gov,nitrd.gov,True
nixonlibrary.gov,nixonlibrary.gov,True
nlm.gov,nlm.gov,False
nlrb.gov,nlrb.gov,True
nls.gov,nls.gov,False
nmb.gov,nmb.gov,False
nmcourt.fed.us,nmcourt.fed.us,False
nmsc.gov,nmsc.gov,False
nmvtis.gov,nmvtis.gov,False
nnlm.gov,nnlm.gov,False
nnss.gov,nnss.gov,False
noaa.gov,noaa.gov,True
nolaenvironmental.gov,nolaenvironmental.gov,False
notalone.gov,notalone.gov,False
nps.gov,nps.gov,True
nrc-gateway.gov,nrc-gateway.gov,False
nrc.gov,nrc.gov,True
nrd.gov,nrd.gov,True
nrel.gov,nrel.gov,False
nrelhub.gov,nrelhub.gov,False
nro.gov,nro.gov,True
nrojr.gov,nrojr.gov,True
nsa.gov,nsa.gov,False
nsep.gov,nsep.gov,True
nsf.gov,nsf.gov,True
nsopr.gov,nsopr.gov,False
nsopw.gov,nsopw.gov,True
nstic.gov,nstic.gov,False
ntis.gov,ntis.gov,True
ntrc.gov,ntrc.gov,False
ntsb.gov,ntsb.gov,False
nuclear.gov,nuclear.gov,False
nutrition.gov,nutrition.gov,True
nutritionevidencelibrary.gov,nutritionevidencelibrary.gov,False
nvtc.gov,nvtc.gov,False
nwbc.gov,nwbc.gov,True
nwcg.gov,nwcg.gov,False
nwirp.gov,nwirp.gov,False
nwtrb.gov,nwtrb.gov,False
obamalibrary.gov,obamalibrary.gov,True
obamawhitehouse.gov,obamawhitehouse.gov,False
obpr.gov,obpr.gov,False
occ.gov,occ.gov,True
occhelps.gov,occhelps.gov,True
occnet.gov,occnet.gov,False
odci.gov,odci.gov,False
odni.gov,odni.gov,True
oea.gov,oea.gov,True
ofcm.gov,ofcm.gov,False
ofda.gov,ofda.gov,False
ofheo.gov,ofheo.gov,False
ofr.gov,ofr.gov,False
oge.gov,oge.gov,True
ogis.gov,ogis.gov,False
ojjdp.gov,ojjdp.gov,True
ojp.gov,ojp.gov,True
omb.gov,omb.gov,False
ondcp.gov,ondcp.gov,False
onguardonline.gov,onguardonline.gov,False
onhir.gov,onhir.gov,False
onrr.gov,onrr.gov,True
openinternet.gov,openinternet.gov,False
opensource.gov,opensource.gov,False
openworld.gov,openworld.gov,False
opic.gov,opic.gov,False
opm.gov,opm.gov,True
orau.gov,orau.gov,False
organdonor.gov,organdonor.gov,True
ornl.gov,ornl.gov,False
osac.gov,osac.gov,True
osc.gov,osc.gov,False
oscnet.gov,oscnet.gov,False
osde.gov,osde.gov,False
osdls.gov,osdls.gov,False
osha.gov,osha.gov,True
oshrc.gov,oshrc.gov,False
osis.gov,osis.gov,False
osm.gov,osm.gov,False
osmre.gov,osmre.gov,True
osti.gov,osti.gov,False
ostp.gov,ostp.gov,False
ots.gov,ots.gov,True
ourdocuments.gov,ourdocuments.gov,True
ovc.gov,ovc.gov,True
ovcttac.gov,ovcttac.gov,True
oversight.gov,oversight.gov,False
oversightboardpr.gov,oversightboardpr.gov,False
pac.gov,pac.gov,False
pacer.gov,pacer.gov,False
pandemicflu.gov,pandemicflu.gov,False
papahanaumokuakea.gov,papahanaumokuakea.gov,True
patriotbonds.gov,patriotbonds.gov,True
pay.gov,pay.gov,False
paymentaccuracy.gov,paymentaccuracy.gov,False
pbgc.gov,pbgc.gov,True
pcah.gov,pcah.gov,False
pci.gov,pci.gov,False
pclob.gov,pclob.gov,True
pdbcecc.gov,pdbcecc.gov,False
peacecore.gov,peacecore.gov,False
peacecorp.gov,peacecorp.gov,False
peacecorps.gov,peacecorps.gov,True
peacecorpsoig.gov,peacecorpsoig.gov,False
pentagon.gov,pentagon.gov,False
pepfar.gov,pepfar.gov,True
performance.gov,performance.gov,False
phe.gov,phe.gov,False
pic.gov,pic.gov,True
piedrasblancas.gov,piedrasblancas.gov,False
pif.gov,pif.gov,False
pitc.gov,pitc.gov,False
pix.gov,pix.gov,False
plainlanguage.gov,plainlanguage.gov,True
pmf.gov,pmf.gov,True
pmi.gov,pmi.gov,True
pnl.gov,pnl.gov,False
pnnl.gov,pnnl.gov,False
poolsafely.gov,poolsafely.gov,True
poolsafety.gov,poolsafety.gov,False
postoffice.gov,postoffice.gov,False
ppdcecc.gov,ppdcecc.gov,False
ppirs.gov,ppirs.gov,True
pppl.gov,pppl.gov,True
pppo.gov,pppo.gov,False
pracomment.gov,pracomment.gov,False
prc.gov,prc.gov,False
pregunteleakaren.gov,pregunteleakaren.gov,False
preprodfan.gov,preprodfan.gov,False
preserveamerica.gov,preserveamerica.gov,False
presidentialdocuments.gov,presidentialdocuments.gov,False
presidentialinnovationfellows.gov,presidentialinnovationfellows.gov,True
presidentialserviceawards.gov,presidentialserviceawards.gov,True
presidio.gov,presidio.gov,False
presidiotrust.gov,presidiotrust.gov,False
pretrialservices.gov,pretrialservices.gov,False
privacy.gov,privacy.gov,False
privacyshield.gov,privacyshield.gov,True
projectsafechildhood.gov,projectsafechildhood.gov,False
projectsafeneighborhoods.gov,projectsafeneighborhoods.gov,False
promesa.gov,promesa.gov,False
protecciondelconsumidor.gov,protecciondelconsumidor.gov,False
protectyourmove.gov,protectyourmove.gov,False
psa.gov,psa.gov,False
psc.gov,psc.gov,False
pscr.gov,pscr.gov,False
psob.gov,psob.gov,True
ptf.gov,ptf.gov,False
ptt.gov,ptt.gov,False
pubmed.gov,pubmed.gov,False
pubmedcentral.gov,pubmedcentral.gov,False
purchasing.gov,purchasing.gov,False
qart.gov,qart.gov,False
qatesttwai.gov,qatesttwai.gov,False
quic.gov,quic.gov,False
rcfl.gov,rcfl.gov,False
read.gov,read.gov,False
ready.gov,ready.gov,True
readybusiness.gov,readybusiness.gov,False
reaganlibrary.gov,reaganlibrary.gov,True
realestatesales.gov,realestatesales.gov,True
realpropertyprofile.gov,realpropertyprofile.gov,True
recalls.gov,recalls.gov,False
recordsmanagement.gov,recordsmanagement.gov,False
recoverymonth.gov,recoverymonth.gov,True
recreation.gov,recreation.gov,True
reginfo.gov,reginfo.gov,True
regulations.gov,regulations.gov,True
relocatefeds.gov,relocatefeds.gov,True
reo.gov,reo.gov,False
reportband.gov,reportband.gov,False
reporting.gov,reporting.gov,False
republicans.gov,republicans.gov,False
research.gov,research.gov,True
restorethegulf.gov,restorethegulf.gov,False
rivers.gov,rivers.gov,True
rl.gov,rl.gov,False
robodeidentidad.gov,robodeidentidad.gov,True
rocis.gov,rocis.gov,True
rrb.gov,rrb.gov,True
sac.gov,sac.gov,True
safecar.gov,safecar.gov,False
safecom.gov,safecom.gov,False
safecomprogram.gov,safecomprogram.gov,False
safeocs.gov,safeocs.gov,True
safercar.gov,safercar.gov,False
saferproduct.gov,saferproduct.gov,False
saferproducts.gov,saferproducts.gov,True
safertruck.gov,safertruck.gov,False
safetyact.gov,safetyact.gov,True
safetyvideos.gov,safetyvideos.gov,False
safeyouth.gov,safeyouth.gov,False
salmonrecovery.gov,salmonrecovery.gov,False
sam.gov,sam.gov,True
samhsa.gov,samhsa.gov,True
sandbox.gov,sandbox.gov,False
sandia.gov,sandia.gov,False
savingsbond.gov,savingsbond.gov,True
savingsbonds.gov,savingsbonds.gov,True
savingsbondwizard.gov,savingsbondwizard.gov,True
sba.gov,sba.gov,True
sbir.gov,sbir.gov,False
sbst.gov,sbst.gov,True
sc-us.gov,sc-us.gov,False
scidac.gov,scidac.gov,False
science.gov,science.gov,False
science360.gov,science360.gov,True
sciencebase.gov,sciencebase.gov,True
scijinks.gov,scijinks.gov,True
scinet-test.gov,scinet-test.gov,False
scinet.gov,scinet.gov,False
scra.gov,scra.gov,False
scus.gov,scus.gov,False
sdr.gov,sdr.gov,True
search.gov,search.gov,True
sec.gov,sec.gov,True
secretservice.gov,secretservice.gov,True
section108.gov,section108.gov,False
section508.gov,section508.gov,True
securitytestfan.gov,securitytestfan.gov,False
seguridadconsumidor.gov,seguridadconsumidor.gov,False
segurosocial.gov,segurosocial.gov,False
selectagents.gov,selectagents.gov,False
selectusa.gov,selectusa.gov,True
sen.gov,sen.gov,False
senate.gov,senate.gov,False
senatecalendar.gov,senatecalendar.gov,False
seniorcorps.gov,seniorcorps.gov,False
sentinel.gov,sentinel.gov,False
serve.gov,serve.gov,False
service.gov,service.gov,False
servicemembers.gov,servicemembers.gov,False
sftool.gov,sftool.gov,True
sharetheroadsafely.gov,sharetheroadsafely.gov,False
sierrawild.gov,sierrawild.gov,False
sigar.gov,sigar.gov,False
sigtarp.gov,sigtarp.gov,True
siteidiq.gov,siteidiq.gov,False
sji.gov,sji.gov,False
slgs.gov,slgs.gov,True
smart.gov,smart.gov,True
smartcheck.gov,smartcheck.gov,True
smarterskies.gov,smarterskies.gov,True
smartgrid.gov,smartgrid.gov,False
smokefree.gov,smokefree.gov,True
smokeybear.gov,smokeybear.gov,False
snap.gov,snap.gov,True
sns.gov,sns.gov,False
socialsecurity.gov,socialsecurity.gov,True
solardecathlon.gov,solardecathlon.gov,False
spaceweather.gov,spaceweather.gov,False
speaker.gov,speaker.gov,False
spectrum.gov,spectrum.gov,False
srs.gov,srs.gov,False
ssa.gov,ssa.gov,True
ssab.gov,ssab.gov,False
sss.gov,sss.gov,False
standards.gov,standards.gov,False
state.gov,state.gov,True
stateoig.gov,stateoig.gov,False
stb.gov,stb.gov,False
stennis.gov,stennis.gov,False
stopalcoholabuse.gov,stopalcoholabuse.gov,False
stopbullying.gov,stopbullying.gov,True
stopfakes.gov,stopfakes.gov,True
stopfraud.gov,stopfraud.gov,True
stopmedicarefraud.gov,stopmedicarefraud.gov,False
strategicsourcing.gov,strategicsourcing.gov,False
strongports.gov,strongports.gov,False
studentaid.gov,studentaid.gov,False
studentloans.gov,studentloans.gov,True
supportfan.gov,supportfan.gov,False
supreme-court.gov,supreme-court.gov,False
supremecourt.gov,supremecourt.gov,False
supremecourtus.gov,supremecourtus.gov,False
surgeongeneral.gov,surgeongeneral.gov,True
sustainability.gov,sustainability.gov,True
sustainablecommunities.gov,sustainablecommunities.gov,True
sworm.gov,sworm.gov,False
swpa.gov,swpa.gov,True
symbols.gov,symbols.gov,True
taaps.gov,taaps.gov,True
tax.gov,tax.gov,False
taxreform.gov,taxreform.gov,False
tcis.gov,tcis.gov,False
teachingprimarysources.gov,teachingprimarysources.gov,False
teachingwithprimarysources.gov,teachingwithprimarysources.gov,False
techtrack.gov,techtrack.gov,False
telework.gov,telework.gov,True
tfhrc.gov,tfhrc.gov,False
thecoolspot.gov,thecoolspot.gov,False
thepeoplesgarden.gov,thepeoplesgarden.gov,False
therealcost.gov,therealcost.gov,False
thisfreelife.gov,thisfreelife.gov,False
thomas.gov,thomas.gov,False
tigta.gov,tigta.gov,False
tigtanet.gov,tigtanet.gov,False
time.gov,time.gov,True
tissueengineering.gov,tissueengineering.gov,False
tmdbhouse.gov,tmdbhouse.gov,False
tobacco.gov,tobacco.gov,False
tox21.gov,tox21.gov,False
tps.gov,tps.gov,False
trade.gov,trade.gov,True
trafficsafetymarketing.gov,trafficsafetymarketing.gov,True
trainingproviderresults.gov,trainingproviderresults.gov,False
transparency.gov,transparency.gov,False
transportation.gov,transportation.gov,True
treas.gov,treas.gov,False
treaslockbox.gov,treaslockbox.gov,False
treasury.fed.us,treasury.fed.us,False
treasury.gov,treasury.gov,True
treasuryauction.gov,treasuryauction.gov,False
treasuryauctions.gov,treasuryauctions.gov,True
treasurydirect.gov,treasurydirect.gov,True
treasuryecm.gov,treasuryecm.gov,False
treasuryhunt.gov,treasuryhunt.gov,True
treasuryscams.gov,treasuryscams.gov,True
tribaljusticeandsafety.gov,tribaljusticeandsafety.gov,False
truman.gov,truman.gov,False
tsa.gov,tsa.gov,True
tsc.gov,tsc.gov,False
tsp.gov,tsp.gov,False
tsptest.gov,tsptest.gov,False
tsunami.gov,tsunami.gov,True
tswg.gov,tswg.gov,True
ttb.gov,ttb.gov,True
ttbonline.gov,ttbonline.gov,False
ttic.gov,ttic.gov,False
ttlplus.gov,ttlplus.gov,False
tva.gov,tva.gov,False
tvaoig.gov,tvaoig.gov,False
twai.gov,twai.gov,False
uce.gov,uce.gov,False
ucia.gov,ucia.gov,False
ucrdatatool.gov,ucrdatatool.gov,False
udall.gov,udall.gov,False
ugov.gov,ugov.gov,False
unicor.gov,unicor.gov,True
unionreports.gov,unionreports.gov,False
unitedstates.gov,unitedstates.gov,False
unitedstatescongress.gov,unitedstatescongress.gov,False
unlocktalent.gov,unlocktalent.gov,True
unnpp.gov,unnpp.gov,False
unrpnet.gov,unrpnet.gov,False
urbanwaters.gov,urbanwaters.gov,False
us-cert.gov,us-cert.gov,True
us.gov,us.gov,False
usa.gov,usa.gov,True
usability.gov,usability.gov,True
usadf.gov,usadf.gov,False
usagov.gov,usagov.gov,False
usaid.gov,usaid.gov,True
usajobs.gov,usajobs.gov,True
usalearning.gov,usalearning.gov,True
usandc.gov,usandc.gov,False
usap.gov,usap.gov,True
usaseanconnect.gov,usaseanconnect.gov,False
usaspending.gov,usaspending.gov,True
usastaffing.gov,usastaffing.gov,True
usbankruptcy.gov,usbankruptcy.gov,False
usbg.gov,usbg.gov,False
usbm.gov,usbm.gov,False
usbr.gov,usbr.gov,True
usc.gov,usc.gov,False
uscapital.gov,uscapital.gov,False
uscapitol.gov,uscapitol.gov,False
uscapitolpolice.gov,uscapitolpolice.gov,False
uscavc.gov,uscavc.gov,False
uscc.gov,uscc.gov,False
usccr.gov,usccr.gov,True
uscg.gov,uscg.gov,False
uscirf.gov,uscirf.gov,True
uscis.gov,uscis.gov,True
uscode.gov,uscode.gov,False
uscongress.gov,uscongress.gov,False
usconsulate.gov,usconsulate.gov,False
uscourts.gov,uscourts.gov,True
uscp.gov,uscp.gov,False
uscurrency.gov,uscurrency.gov,False
usda.gov,usda.gov,True
usdapii.gov,usdapii.gov,False
usdebitcard.gov,usdebitcard.gov,True
usdigitalservice.gov,usdigitalservice.gov,False
usdoj.gov,usdoj.gov,False
usds.gov,usds.gov,True
usembassy.gov,usembassy.gov,True
userra.gov,userra.gov,False
usgcrp.gov,usgcrp.gov,False
usgeo.gov,usgeo.gov,False
usgovernment.gov,usgovernment.gov,False
usgovernmentmanual.gov,usgovernmentmanual.gov,False
usgs.gov,usgs.gov,True
ushmm.gov,ushmm.gov,False
ushouse.gov,ushouse.gov,False
ushr.gov,ushr.gov,False
usich.gov,usich.gov,False
usip.gov,usip.gov,False
usitc.gov,usitc.gov,True
usitcoig.gov,usitcoig.gov,False
usmarshals.gov,usmarshals.gov,True
usmint.gov,usmint.gov,True
usmission.gov,usmission.gov,False
usphs.gov,usphs.gov,False
uspis.gov,uspis.gov,False
usprobation.gov,usprobation.gov,False
usps.gov,usps.gov,True
uspsinformeddelivery.gov,uspsinformeddelivery.gov,False
uspsinnovates.gov,uspsinnovates.gov,False
uspsoig.gov,uspsoig.gov,False
uspto.gov,uspto.gov,True
ussc.gov,ussc.gov,False
ussm.gov,ussm.gov,True
usss.gov,usss.gov,False
ustaxcourt.gov,ustaxcourt.gov,False
ustda.gov,ustda.gov,True
ustr.gov,ustr.gov,False
ustreas.gov,ustreas.gov,False
utahfireinfo.gov,utahfireinfo.gov,True
va.gov,va.gov,True
vaccines.gov,vaccines.gov,True
vcf.gov,vcf.gov,True
vef.gov,vef.gov,True
vehiclehistory.gov,vehiclehistory.gov,True
verifypayment.gov,verifypayment.gov,False
vetbiz.gov,vetbiz.gov,True
veterans.gov,veterans.gov,True
vets.gov,vets.gov,True
visitthecapital.gov,visitthecapital.gov,False
visitthecapitol.gov,visitthecapitol.gov,False
vistacampus.gov,vistacampus.gov,True
voa.gov,voa.gov,False
volcano.gov,volcano.gov,True
volunteer.gov,volunteer.gov,True
volunteeringinamerica.gov,volunteeringinamerica.gov,False
vote.gov,vote.gov,True
votebymail.gov,votebymail.gov,False
wapa.gov,wapa.gov,False
wartimecontracting.gov,wartimecontracting.gov,False
watermonitor.gov,watermonitor.gov,False
wdl.gov,wdl.gov,False
wdol.gov,wdol.gov,False
weather.gov,weather.gov,True
webharvest.gov,webharvest.gov,True
welcometousa.gov,welcometousa.gov,False
wh.gov,wh.gov,False
whaging.gov,whaging.gov,False
whistleblower.gov,whistleblower.gov,True
whistleblowers.gov,whistleblowers.gov,True
whitehouse.gov,whitehouse.gov,True
whitehouseconferenceonaging.gov,whitehouseconferenceonaging.gov,False
whitehousedrugpolicy.gov,whitehousedrugpolicy.gov,False
wildfire.gov,wildfire.gov,False
wildlifeadaptationstrategy.gov,wildlifeadaptationstrategy.gov,True
wizard.gov,wizard.gov,True
wlci.gov,wlci.gov,True
womenshealth.gov,womenshealth.gov,True
womenshistorymonth.gov,womenshistorymonth.gov,False
woodsy.gov,woodsy.gov,False
woodsyowl.gov,woodsyowl.gov,False
worker.gov,worker.gov,True
workplace.gov,workplace.gov,False
worldwar1centennial.gov,worldwar1centennial.gov,False
wrp.gov,wrp.gov,True
ymp.gov,ymp.gov,False
youth.gov,youth.gov,False
youthrules.gov,youthrules.gov,True
